provider,family,model_name,model_id,status,pricing_mode,input_scope,prompt_size_band,input_price_usd,cached_input_price_usd,output_price_usd,context_cache_storage_or_other_usd,unit,thinking_support,notes,source_url
Google,Gemini 2.5,Gemini 2.5 Flash-Lite,gemini-2.5-flash-lite,current,standard,text/image/video,all,0.1,0.01,0.4,Audio input $0.30; audio cache $0.03; storage $1.00 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash-Lite Preview,gemini-2.5-flash-lite-preview-09-2025,preview,batch,text/image/video,all,0.05,0.01,0.2,Audio input $0.15; audio cache $0.03; storage $1.00 per 1M tokens/hour,USD per 1M tokens,yes,Preview variant.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Flash-Lite Preview,gemini-2.5-flash-lite-preview-09-2025,preview,standard,text/image/video,all,0.1,0.01,0.4,Audio input $0.30; audio cache $0.03; storage $1.00 per 1M tokens/hour,USD per 1M tokens,yes,Preview variant.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Pro,gemini-2.5-pro,current,batch,multimodal,all,0.625,0.125,5.0,Prompts >200k: input $1.25 / output $7.50 / cache $0.25; storage $4.50 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Pro,gemini-2.5-pro,current,flex,multimodal,all,0.625,0.125,5.0,Prompts >200k: input $1.25 / output $7.50 / cache $0.25; storage $4.50 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Pro,gemini-2.5-pro,current,priority,multimodal,all,2.25,0.225,18.0,Prompts >200k: input $4.50 / output $27 / cache $0.45; storage $8.10 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Pro,gemini-2.5-pro,current,standard,multimodal,all,1.25,0.125,10.0,Prompts >200k: input $2.50 / output $15 / cache $0.25; storage $4.50 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Pro Preview TTS,gemini-2.5-pro-preview-tts,preview,batch,text-to-speech,all,0.5,,10.0,,USD per 1M tokens,unknown,"Input=text, output=audio.",https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 2.5,Gemini 2.5 Pro Preview TTS,gemini-2.5-pro-preview-tts,preview,standard,text-to-speech,all,1.0,,20.0,,USD per 1M tokens,unknown,"Input=text, output=audio.",https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 3,Gemini 3 Flash Preview,gemini-3-flash-preview,preview,batch,text/image/video,all,0.25,0.05,1.5,Audio input $0.50; audio cache $0.10; storage $1.00 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 3,Gemini 3 Flash Preview,gemini-3-flash-preview,preview,flex,text/image/video,all,0.25,0.05,1.5,Audio input $0.50; audio cache $0.10; storage $1.00 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 3,Gemini 3 Flash Preview,gemini-3-flash-preview,preview,priority,text/image/video,all,0.9,0.09,5.4,Audio input $1.80; audio cache $0.18; storage $1.80 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 3,Gemini 3 Flash Preview,gemini-3-flash-preview,preview,standard,text/image/video,all,0.5,0.05,3.0,Audio input $1; audio cache $0.10; storage $1.00 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 3,Gemini 3 Pro Image Preview (Nano Banana Pro),gemini-3-pro-image-preview,preview,batch,image generation,all,1.0,,6.0,Image input ~$0.0006/image; image output ~$0.067 per 1K/2K image and $0.12 per 4K image,USD per 1M text tokens,yes,Text input/output priced like Gemini 3.1 Pro; Nano Banana Pro alias.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 3,Gemini 3 Pro Image Preview (Nano Banana Pro),gemini-3-pro-image-preview,preview,flex,image generation,all,1.0,,6.0,Image input ~$0.0006/image; image output ~$0.067 per 1K/2K image and $0.12 per 4K image,USD per 1M text tokens,yes,Text input/output priced like Gemini 3.1 Pro; Nano Banana Pro alias.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 3,Gemini 3 Pro Image Preview (Nano Banana Pro),gemini-3-pro-image-preview,preview,priority,image generation,all,3.6,,21.6,Image output $216 per 1M tokens,USD per 1M text tokens,yes,Text input/output priced like Gemini 3.1 Pro; Nano Banana Pro alias.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 3,Gemini 3 Pro Image Preview (Nano Banana Pro),gemini-3-pro-image-preview,preview,standard,image generation,all,2.0,,12.0,Image input ~$0.0011/image; image output ~$0.134 per 1K/2K image and $0.24 per 4K image,USD per 1M text tokens,yes,Text input/output priced like Gemini 3.1 Pro; Nano Banana Pro alias.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 3.1,Gemini 3.1 Flash Image Preview (Nano Banana 2),gemini-3.1-flash-image-preview,preview,batch,image generation,all,0.25,,1.5,"Image output $30 per 1M tokens (~$0.022/0.5K, $0.034/1K, $0.050/2K, $0.076/4K image)",USD per 1M text tokens,yes,Text+thinking output priced separately from image output. Nano Banana 2 alias.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 3.1,Gemini 3.1 Flash Image Preview (Nano Banana 2),gemini-3.1-flash-image-preview,preview,standard,image generation,all,0.5,,3.0,"Image output $60 per 1M tokens (~$0.045/0.5K, $0.067/1K, $0.101/2K, $0.151/4K image)",USD per 1M text tokens,yes,Text+thinking output priced separately from image output. Nano Banana 2 alias.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 3.1,Gemini 3.1 Flash Live Preview,gemini-3.1-flash-live-preview,preview,standard,live audio/video,all,0.75,,4.5,Audio input $3 or $0.005/min; image/video input $1 or $0.002/min; audio output $12 or $0.018/min,USD per 1M text tokens,yes,Text output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 3.1,Gemini 3.1 Flash TTS Preview,gemini-3.1-flash-tts-preview,preview,batch,text-to-speech,all,0.5,,10.0,,USD per 1M tokens,unknown,"Input=text, output=audio.",https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 3.1,Gemini 3.1 Flash TTS Preview,gemini-3.1-flash-tts-preview,preview,standard,text-to-speech,all,1.0,,20.0,,USD per 1M tokens,unknown,"Input=text, output=audio.",https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 3.1,Gemini 3.1 Flash-Lite Preview,gemini-3.1-flash-lite-preview,preview,batch,text/image/video,all,0.125,0.0125,0.75,Audio input $0.25; audio cache $0.025; storage $0.50 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 3.1,Gemini 3.1 Flash-Lite Preview,gemini-3.1-flash-lite-preview,preview,flex,text/image/video,all,0.125,0.0125,0.75,Audio input $0.25; audio cache $0.025; storage $0.50 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 3.1,Gemini 3.1 Flash-Lite Preview,gemini-3.1-flash-lite-preview,preview,standard,text/image/video,all,0.45,0.045,2.7,Audio input $0.90; audio cache $0.09; storage $1.80 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 3.1,Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,preview,batch,multimodal,all,1.0,0.2,6.0,Prompts >200k: input $2 / output $9 / cache $0.40; storage $4.50 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 3.1,Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,preview,priority,multimodal,all,3.6,0.36,21.6,Prompts >200k: input $7.20 / output $32.40 / cache $0.72; storage $8.10 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Gemini 3.1,Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,preview,standard,multimodal,all,2.0,0.2,12.0,Prompts >200k: input $4 / output $18 / cache $0.40; storage $4.50 per 1M tokens/hour,USD per 1M tokens,yes,Output pricing explicitly includes thinking tokens.,https://ai.google.dev/gemini-api/docs/pricing
Google,Imagen 4,Imagen 4 Fast,imagen-4.0-fast-generate-001,current,standard,image generation,all,0.02,,,,USD per image,unknown,Per-image pricing.,https://ai.google.dev/gemini-api/docs/pricing
Google,Imagen 4,Imagen 4 Standard,imagen-4.0-generate-001,current,standard,image generation,all,0.04,,,,USD per image,unknown,Per-image pricing.,https://ai.google.dev/gemini-api/docs/pricing
Google,Imagen 4,Imagen 4 Ultra,imagen-4.0-ultra-generate-001,current,standard,image generation,all,0.06,,,,USD per image,unknown,Per-image pricing.,https://ai.google.dev/gemini-api/docs/pricing
Google,Lyria 3,Lyria 3 Clip Preview,lyria-3-clip-preview,preview,standard,music generation,all,0.04,,,,USD per request,unknown,30-second song.,https://ai.google.dev/gemini-api/docs/pricing
Google,Lyria 3,Lyria 3 Pro Preview,lyria-3-pro-preview,preview,standard,music generation,all,0.08,,,,USD per request,unknown,Full song.,https://ai.google.dev/gemini-api/docs/pricing
Google,Robotics-ER,Gemini Robotics-ER 1.5 Preview,gemini-robotics-er-1.5-preview,preview,standard,multimodal robotics reasoning,all,0.3,,2.5,Audio input $1.00,USD per 1M tokens,yes,Google describes Robotics-ER as a thinking model.,https://ai.google.dev/gemini-api/docs/pricing
Google,Robotics-ER,Gemini Robotics-ER 1.6 Preview,gemini-robotics-er-1.6-preview,preview,batch,multimodal robotics reasoning,all,0.5,,2.5,Audio input $1.00,USD per 1M tokens,yes,Google describes Robotics-ER as a thinking model.,https://ai.google.dev/gemini-api/docs/pricing
Google,Robotics-ER,Gemini Robotics-ER 1.6 Preview,gemini-robotics-er-1.6-preview,preview,standard,multimodal robotics reasoning,all,1.0,,5.0,Audio input $2.00,USD per 1M tokens,yes,Google describes Robotics-ER as a thinking model.,https://ai.google.dev/gemini-api/docs/pricing
Google,Veo 2,Veo 2,veo-2.0-generate-001,current,standard,video,all,0.35,,,,USD per second,unknown,Per-second pricing.,https://ai.google.dev/gemini-api/docs/pricing
Google,Veo 3,Veo 3 Fast,veo-3.0-fast-generate-001,current,standard,video with audio,all,0.1,,,,USD per second,unknown,720p; 1080p $0.12/s; 4k $0.30/s.,https://ai.google.dev/gemini-api/docs/pricing
Google,Veo 3,Veo 3 Standard,veo-3.0-generate-001,current,standard,video with audio,all,0.4,,,,USD per second,unknown,Per-second pricing.,https://ai.google.dev/gemini-api/docs/pricing
Google,Veo 3.1,Veo 3.1 Fast,veo-3.1-fast-generate-preview,preview,standard,video with audio,all,0.1,,,,USD per second,unknown,720p; 1080p $0.12/s; 4k $0.30/s.,https://ai.google.dev/gemini-api/docs/pricing
Google,Veo 3.1,Veo 3.1 Lite,veo-3.1-lite-generate-preview,preview,standard,video with audio,all,0.05,,,,USD per second,unknown,720p; 1080p $0.08/s; 4k not supported.,https://ai.google.dev/gemini-api/docs/pricing
Google,Veo 3.1,Veo 3.1 Standard,veo-3.1-generate-preview,preview,standard,video with audio,all,0.4,,,,USD per second,unknown,720p and 1080p; 4k is $0.60/s.,https://ai.google.dev/gemini-api/docs/pricing
